1;Dukuh Pakis;-7,28127;112,68466
2;Sukomanunggal;-7,26427;112,69734
3;Sawahan;-7,26302;112,72118
4;Tegalsari;-7,27986;112,73606
5;Wonokromo;-7,302660;112,73310
6;Wiyung;-7,31527;112,68542
7;Gubeng;-7,27928;112,75392
8;Genteng;-7,25913;112,74807
9;Wonocolo;-7,31983;112,74203
10;Gayungan;-7,33054;112,72391
11;Tenggilis Mejoyo;-7,32036;112,75800
12;Mulyorejo;-7,26932;112,79267
13;Sukolilo;-7,28819;112,81651
14;Rungkut;-7,31898;112,80462
